team1,team2,toss_winner,toss_decision,venue,winner
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Kolkata Knight Riders
Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Punjab Cricket Association Stadium,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi Capitals
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Wankhede Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Rajiv Gandhi International Stadium,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Rajasthan Royals
Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Cricket Association Stadium,Punjab Kings
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Cricket Association Stadium,Punjab Kings
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Feroz Shah Kotla,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Rajiv Gandhi International Stadium,Punjab Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals
